"이낙연총리님도 좋고
칼춤 제대로 추려면 이재명 도지사님도 좋아요.",0.0,18.95,81.05,긍정
"이해찬 대표님 그만 내려오세요 
이낙연총리님 지지합니다",0.01,2.79,97.2,긍정
능 구렁이  이낙연 토착왜구 이낙연~ 재수없어~~,0.2,18.25,81.56,긍정
황교안 총리때였으면..ㅋㅋㅋ아오 생각하기도 싫다,0.0,26.82,73.18,긍정
"황교안이 대통령 될바에는, 중도층에서 2등 하고 있는 '없음'씨가 대통령하는게 더 국가에 도움 되는거 아닌가?",0.08,1.11,98.81,긍정
황교안 보다 이재명이 더 싫다 민주당의 암덩어리 제발 점 나가라,0.05,0.51,99.44,긍정
한것도 없는 이낙연이 대선후보 1위라니 여전히 여론조작이네. 이낙연은 그냥 제 2의 문재앙일뿐....,30.73,23.83,45.43,긍정
"조국 이낙연등  
문재인의 최측근들 역대급으로 더럽고 부패했다.",0.0,39.02,60.98,긍정
문재인대통령님 최고입니다. 엄지 척..,0.0,2.92,97.08,긍정
"황교안을 찍는 그  대가리 자체가 정말 너무 궁금하다

인간으로 태어나 쑤뤡이로 살아가는것들하고 같이 살아가야하는 내가 너무 불쌍하다",0.04,3.87,96.09,긍정
자한당 깡패들 때문에 총리 인준이 어렵다 그대로 계시라,0.03,0.15,99.82,긍정
이총리 신뢰와 리더십 그리고 인간성 최고의 지도자!,0.08,33.2,66.73,긍정
황교안이 계엄령 녹음파일,0.13,8.84,91.02,긍정
다 나와라 전원 낙선이다,27.64,10.69,61.68,긍정
황교안으론 안된다,0.05,12.47,87.48,긍정
황교안은빼라,0.15,3.15,96.7,긍정
역시 잽하고는 말이 안통한다,34.22,1.48,64.3,긍정
이낙연에박수짝짝,0.01,40.41,59.58,긍정
총리가 같은 총리가 아니다.,0.0,49.35,50.65,긍정
이낙연 총리님 지지합니다~~~!!,0.0,2.21,97.79,긍정
제목만 봐서는 유가족들이 총리를 비난 하는줄 알겠네.,1.67,32.0,66.33,긍정
황교안따위와 어떻게 비교를...,0.13,1.48,98.39,긍정
문재인이 너무 싢다    좋아요!!!!!!!!!!,0.01,4.55,95.44,긍정
"황교안이가  야권의 대표선수로 있는게
참 다행이야  ...지지율을  그정도에서 항상
묶어주니까 ㅋㅋㅋ",0.67,1.43,97.9,긍정
"이낙연총리 대통령 될까봐 무서워 
벌써부터 흠집내고 까냐―,.―",0.0,22.44,77.56,긍정
40대 총리에 한표,29.6,20.48,49.92,긍정
누가 보면 총리되자마자 사임한 줄 알겠네,12.31,3.75,83.94,긍정
황교안은 깜이 아니다.,0.22,1.16,98.61,긍정
"홍콩사태가 우리의 미래다   국민들 정신차려야  
  더럽고 추악한 빨갱이 문재앙 더불어민주당 지옥가라",0.03,46.17,53.8,긍정
총리님 감사합니다. 악플 다시는 분들도 삶이 힘들어서 그러니 포용하시길..,0.0,13.87,86.13,긍정
진짜 총리의 모습을 보여주시는분,0.09,23.98,75.93,긍정
보수가 이낙연을  안찍지,15.98,7.01,77.01,긍정
이총리님이 대통령되시면 총리님으로 문대통령 지명하심 좋겠어요 ㅎㅎㅎ 가능한진 모르겠지만요 ^^,0.01,30.9,69.09,긍정
발악하네 이낙연이 데리고 놀고싶어서.,0.17,5.75,94.08,긍정
더불아민주당화이팅,0.0,2.18,97.82,긍정
자한당은 내란죄로 다스리자~,0.19,23.55,76.26,긍정
자한당 없애고 국민을 대변하는 의원 정수는 늘리자,0.01,0.33,99.67,긍정
황교안 꼭 대선에 나오실때까지 힘내세요.ㅋㅋㅋ,0.06,37.26,62.68,긍정
황교안14.5..... 정신들이있냐,0.12,1.02,98.86,긍정
이낙연 총리님 감사드립니다 화이팅입니다,0.0,0.71,99.29,긍정
교안아 힘내거라! 형은 너만 믿는다~커커커!,26.61,14.17,59.22,긍정
"줄을서시오~~
이낙연은 깃발을 들고
이재명 박원순 김부겸등등
줄을 서시고 탄탄한 기반을 만들어 보십시다. 대세는 이낙연
이낙연이 정답입니다.",0.05,20.56,79.39,긍정
"좌파들,세월호에 생 지랄했잖아 문재인 책임지고 나가라.",6.0,7.14,86.86,긍정
이해찬이나 물러가시오  이낙연이 지휘하게,0.16,9.86,89.98,긍정
"100% 여론조작입니다.  여론조사는 표본이 중요합니다. 19대 대통령선거 유권자 투표율 79% 그중 문재인 41, 홍준표 24, 안철수 21% 그외 기타 후보들, 투표안한 21%를 무당층으로 잡고! 이렇게 하면 문재인 뽑은 41% 표본이 나와야되고, 홍준표 24%, 안철수 21%, 투표안한층 21% 를  100%로 표본으로 잡아서 연령,성별,지역별로 표본을 설정해야합니다. 모든 여론조사 기관들보면 문재인뽑은 사람들이 41%에 맞추고 조사를해야하는데 대댜수가 55% kbs,mbc 코리아 리서치는 문재인 뽑은 사람 65%가 응답함.",41.28,11.21,47.5,긍정
MBC  &lt;------   인민군 수괴  대한민국 환구시보 방송국 MBC여~   거짓말치지 마세요~   ^^   니들의  그런 여론몰이식 여론조사라면~   광화문집회보다 ---&gt; 서초동 집회가 훨씬 많았어야 합니다...  ^^  하지만  뚜껑을 열어보니~  서초동 집회보다 ----&gt; 광화문집회가 누가봐도  2배이상 많았습니다.. ㅎㅎㅎㅎㅎㅎㅎㅎ  왜~ 자꾸 거짓말 치나요?  ^^  문재인이 거짓말 않하면~  MBC  세무조사한다고 난리 치던가요?  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20.23,35.11,44.66,긍정
"이낙연 총리님 수고 많으십니다. 
건강하세요~~",0.0,3.72,96.28,긍정
그나마 이낙연총리라도 있어 다행이다.,0.0,1.68,98.32,긍정
이낙연총리는 좋은데 문재인은 너무싫다..딜레마야..,0.0,3.82,96.18,긍정
난 이낙연이 좋더라,0.21,34.95,64.83,긍정
중앙이 민주당에 왜낌 ㄲㅈ,3.21,48.15,48.64,긍정
이낙연 공산당베트남총리를 존경한다고 ???,0.0,16.13,83.87,긍정
이 시대에 다시 그리운 분입니다!,31.18,6.31,62.51,긍정
"변화무쌍한 박지원은 이 정부에대한 충성심을신뢰할 수 없다. 총리 부적격

이낙연은 참 멋진  총리였다",0.03,33.13,66.84,긍정
황교안 정말 싫다..............ㅜㅡㅜ,0.83,4.99,94.18,긍정
이낙연총리는문씨보다낫다,0.0,14.58,85.42,긍정
뭐 다늘아니지만 꼭 대통할라고하면 이총리도 괜차나,1.05,21.09,77.86,긍정
"황교안.    김기춘밑에서   시작한게잘못이다.
유신헌법고안한   김기춘한테   뭘배웠겠나.
바끄네밑에선  장관.총리.대통령권한대행까지
했지만  기억에남을만한  일이없다.",0.01,20.39,79.6,긍정
"황교안이 대통령감' 기가막히네 ㅠ 차라리 주옥순이 헐 휼륭합니다.  이제 대통령 패거리로 뽑지맙시다 되는게 암컷도 없습니다. 검증 철저 티비토론
세번으로 어떻게 검증이 됩니까 검증 방법 개선해야 합니다.",0.02,1.99,97.98,긍정
문재인정권 논리로 치면 문재인 탄핵이 맞네...,0.0,33.44,66.56,긍정
이낙연총리님  적극지지합니다   건강하세여,0.0,0.66,99.34,긍정
"애쓴다. 그렇게 여권에 인사가 없니? 갑자기 이낙연이 왜 부상되나?
이낙연 대통령이라...
삶은 소대가리가 웃는다고 정은이 한테 한소리 듣겠다.",21.52,7.08,71.4,긍정
감사합니다 총리님,0.12,21.86,78.02,긍정
자한당도 싫지만 민주당은 절대 다시는 안뽑는다는 사람들이 절대 다수던데 선동 조작 오지네..,5.06,6.34,88.6,긍정
나라망친 이낙연 죗값을 받아라,3.2,11.59,85.21,긍정
쓰레기 대청소에  이낙연 총리가  앞장 서면   깨끗 해진다,0.0,23.54,76.46,긍정
사랑해요 총리님,0.15,29.99,69.86,긍정
이낙연총리님 전격적으로 지지합니다,0.0,3.67,96.33,긍정
대권후보같은소리 ㅋ 쇼하지마라! 더불어당 아웃,0.3,0.83,98.87,긍정
감희 어딜 이낙연총리님하고 비교를 하고있지 택도없다,0.0,3.48,96.51,긍정
"이낙연, 조국 둘 다 좋아요.",0.01,41.22,58.78,긍정
"친북좌파 민주당이 국가 망한다고 하던데
어서 황교안이 대통령되어야 국가 정상된다",0.04,48.47,51.49,긍정
대통.총리공상들 간난하지도 않을텐데 왜취업했나.나라가걱정이다 무능한 정부가 나라망친다.,2.06,5.18,92.76,긍정
차기대통령^^이낙연이 조용하지만 포스가 장난아닌듯,2.48,35.11,62.41,긍정
해괴한 재앙,11.25,24.09,64.66,긍정
이낙연 총리를 문재인 정권의 계승자로!,0.0,35.36,64.64,긍정
"늙다리
갱상도
멍충도   하뜬  띨띨한것들은
죄다  자한당",0.02,0.17,99.81,긍정
이총리는   좋은데   민주당은  싫어라,0.0,4.72,95.27,긍정
거기를 쑤시면 이낙연 비리카오겠지? ㅎㅎㅎ 부산의전원도...,0.56,40.52,58.93,긍정
문재인2 이낙연,0.0,22.37,77.63,긍정
이낙연 입니다.,0.0,16.39,83.61,긍정
"이낙연은 군필이고, 황교안은 미필이다.  이낙연 국무총리는 군에서 힘든 시기를 겪어봤기에 대한민국 모든 남성들의 심정을 조금이나마 이해할것입니다.",0.0,46.87,53.13,긍정
자한당 바미당 정의당 꼬라지 보고 한숨쉬었는데 민좆당도 말이 아니네ㅋㅋ 쇄신은 개뿔ㅋㅋㅋ 그나저나 김현종 저 ㅅㄲ가 이번에 탈북민 강제 호송쇼의 계획자냐,0.11,0.06,99.83,긍정
실상은 문재인쪽 민주당애들 전혀 인기도없고 그런데 언론조작만 해대니 큰일 ㅎㅎㅎㅎ역대 언론조작 쩌는 정부는 문재앙이 최고수준,1.8,12.1,86.1,긍정
"황교안, 60대 이상과 충청·TK서 지지 높아

 태극기부대 + 김종필 논네 패거리  + 우리가 남이가 = 황교활

이낙연
8도 국민에서 뇬네들 빼고 지지율  대체적으로 호감 많음.

이래도 황교활이가  대통감이니 --- 기레가

떵구녁 쭉쭉 빨아서 너혼자 잘먹고 잘살면
대한민국 그누가 죽어나가도  아~~ 멀러 하던  칠푼이랑 똑같은거지
에라 자손대대  그케 살아라 
찍바리 앞잪이 하던 버릇대로 .....",0.16,0.93,98.91,긍정
이낙연 총리님 최고❤,0.0,3.06,96.94,긍정
자한당이 무너져야 국방비리 없어지고 부패세력이 줄어든다. 부정한 공무원 나태한 공무원도 등달아 없어질것이다. 그들의 연결고리를 끊어야 한다.,0.01,0.13,99.86,긍정
