comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1872241473	kimm****	머리털 나고 이리 뻔뻔한 사람은 첨이다 갑중의 갑  ..축하드립니다 뻔뻔남 1위 등극	2019-10-01T21:18:51+0900	2	0
1872234453	kkll****	조국제수없다 꼴보기싫다	2019-10-01T21:12:31+0900	0	1
1872226623	leeg****	무슨 범법자가 대선 주자냐.. 자진사퇴하고 검찰수사 받아라 쓰레기야... 여기는 도대체 저런 인간을 대선후보로 세우는 이유가 뭐냐??	2019-10-01T21:05:20+0900	2	1
1872206613	ljk6****	나라망신이네.   문빠들 끝은 어디냐	2019-10-01T20:48:45+0900	3	0
1872198013	diar****	박근혜-황교안??? 헐 ~	2019-10-01T20:41:57+0900	0	0
1872195303	ross****	정말 세상이 어떻게 돌아가는지 모르겠다.	2019-10-01T20:39:33+0900	1	0
1872177273	wynn****	조국 구하려고...별별 기사 다 만들고...오직 촛불로 이 나라를 운영하려하는 이 정부가 너무 사특하다는 생각이 듭니다. 대한민국 자유민주주의 근간을 흔들고...새판 깔고 사회주의로 가려는 분이...대통령 후보 랭킹에 들다디ㅠㅠ 이나라에 필요한 리더는... 사상 색깔이 강한사람이 아닌-!! 앞으로는경제 살리고 옳바른 판단 가능한 새로운 리더가 필요합니다. 새판짜라는 사특한 이 정부를 누르고...새 정부가 탄생해야 할듯 하네오.	2019-10-01T20:22:51+0900	9	2
1872167623	kys0****	ㅋㅋ 잡범  피의자도 대통령 할리구~~  나라가 미쳐돌아가는구나	2019-10-01T20:13:43+0900	2	0
1872166553	mysk****	떠불어터진당 당원들만 여론조사한것 이랑깨~   거시기~알것쬬잉~	2019-10-01T20:12:46+0900	0	0
1872166373	woru****	누가 그래? 3위?	2019-10-01T20:12:39+0900	3	0
1872163973	foot****	미친	2019-10-01T20:10:35+0900	1	0
1872160983	yoon****	한걸레 또 선동질 하고 앉아있네	2019-10-01T20:07:52+0900	3	0
1872160573	dokj****	황교안 저 덜떨어진거 누가 후보로 올려놨어?	2019-10-01T20:07:32+0900	2	1
1872159773	kore****	한걸래? ㅋ ㅋ ㅋ ㅋ 너희 편집국장 세기랑 술쳐먹다 설문조사 했냐? ㅋ	2019-10-01T20:06:52+0900	0	0
1872159433	wara****	말장난하지 맙시다	2019-10-01T20:06:29+0900	1	0
1872156133	youn****	조국??? 나라 망칠일 있냐	2019-10-01T20:03:48+0900	3	2
1872154623	drea****	지금 차마 한나라당 선택못하겠는 진보에 실망한 사람들이 이를 갈고 있는게 조국인데   조국이 대통령 후보로 나와?  무조건 상대방 찍어준다.  김정일 응원받는 조국 보단  지나가는 아무개 선택한다.	2019-10-01T20:02:28+0900	2	0
1872151623	ying****	우리 국민 수준 느낀다.그래 호남좌파랑 영남좌파랑 실컷 싸워라~ 황교안이 차기 대통령 되겠네	2019-10-01T19:59:44+0900	1	0
