전정권이 연금손대고나니 이번정권은 역대급으로 공무원 뽑아버리기ㅋㅋㅋ 진짜꼴통 정부
공무원만 늘리는 문정권
연금이란자체를 없어져야되..
"부정부패로 잘린 공무원은 연금 몰수하도록 법 바꾸자. 조현천 처럼 미국에 도망간 범죄자는 연금 끊자. 주소가 매달 체크 안되면 끊어라. 주소불명은 뭔가 문제가 있는거지. 특히 건축과, 토지과, 국토부, 주택공사 이런 쪽 공무원 비리 많다. 친인척에게 정부 주고 하니, 조국만큼 털어봐야 한다. 국가 제 1도둑이 전국에 있는 말단 공무원까지 다 살펴봐야 한다. 아직도 퇴근후 다시 와서 퇴근 체크후 야간수당 빼먹냐? 말단 공무원까지 해외연수로 전세계 여행하냐? 유학 자금은 왜 주냐?"
등신 문재인은 그래도 공무원을 늘린다 지 정권 유지 할려고 덕분에 공무원은 양반이라 철밥통에 팅자 팅자 알반 국민과 자영업다는 상놈이라 귀족 공무원 노후연금 실탄받이 하느라 버는 족족 문재인에게 수탈 당하는 더러운 나라
공무원  민노총  전교조  철밥통은   먼지하나  못닦아내는  문재인의 경제개혁은    김정은  3대세습 북핵 안고서  평화타령 하는것과    같이  위선과  기만에  가득찬 쇼일  뿐이다
국민  절반이  비정규직인  나라에서  국민평균의    8배  연금을   공무원이   국민세금으로     수령하는게 제정신인  나라냐?    문재인 개혁은  전부  엉터리다  민식이법갈은    감성법으로  국민에게  본질은  속이는 쇼만 하고 있다
문재인 뽑은 ㅅㄲ들이 세금 더 내라
이러다 진심 나라 망하는건 아닌지 정말 걱정됩니다
개혁은 필수다
공무원 뽑을 빠에 공기업 늘려라  청년자금 수십조 그런거 공기업통해서 집행해라
세금으로 메우지마라... 쓸데없이 공유원ㅈ늘려놓고서는...  군인은 줘라.
이러한 형편성 없는 논리  공무원 연금  국민연금  다를게  뭐  있나요  제발  조절  하여  연금  으로  불안 하게  는  만들지  말어야지~~~
